ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
tur_ex_,tur,tur_A tur_A_N,,güzel kadm,beautiful woman,the beautiful woman,"Kornfilt_1997[p. 105, ex. 410]", 
tur_ex_,tur,tur_A,,Ahmet dün hasta-y-dı,Ahmet yesterday sick-COP-PST,Ahmet was sick yesterday.,"Kornfilt_1997[p. 422, ex. 1466]", 
tur_ex_,tur,tur_XP_A_N,,çok olgun bir elma,very ripe an apple,a very ripe apple,"Kornfilt_1997[p. 107, ex. 422]", 
tur_ex_,tur,tur_XP_A_N,,ben-im kadar yorgun bir insan,I-GEN as.much.as tired a person,a person as tired as me,"Kornfilt_1997[p. 96, ex. 384]", 
tur_ex_,tur,tur_XP_A_N,,koca-sın-a çok sadık bir kadın,husband-3SG-DAT very loyal a woman,a woman very loyal to her husband,"Kornfilt_1997[p. 98, ex. 390]",
tur_ex_,tur,tur_A_XP_N,,*çok sadık koca-sın-a bir kadın,very loyal husband-3SG-DAT a woman,a woman very loyal to her husband,"Ümit Atlamaz, p.c.", 
tur_ex_,tur,tur_A_N_XP,,çok sadık bir kadın koca-sın-a,very loyal a woman husband-3SG-DAT,a woman very loyal to her husband,"Ümit Atlamaz, p.c.",koca-sın-a here seems to be postposed/backgrounded
tur_ex_,tur,tur_XP_A,,Zeynep koca-sın-a sadık-tır.,Zeynep husband-3SG-DAT loyal-EPIS.COP,Zeynep is loyal to her husband.,"Kornfilt_1997[p. 223, ex. 791]",  
​​tur_ex_,tur,tur_A_XP,,Zeynep sadık-tır koca-sın-a.,Zeynep loyal-EPIS.COP husband-3SG-DAT ,Zeynep is loyal to her husband.,"Ümit Atlamaz, p.c.",
tur_ex_,tur,tur_V_N tur_XP_V_N,,okul-a gid-en adam,school-DAT go-SBJ.P man,the man who goes/went to school,"Kornfilt_1997[p. 58, ex. 246]",
tur_ex_,tur,tur_V tur_V_N,,adam-ın git-tiğ-i okul,man-GEN go-OBJ.P-3SG school,the school that the man goes/ went to,"Kornfilt_1997[p. 58, ex. 247]",
tur_ex_,tur,tur_XP_V_N,,balığ-ı yi-yen adam,fish-ACC eat-SBJ.P man,the man who eats/ ate the fish,"Kornfilt_1997[p. 58, ex. 248]",
tur_ex_,tur,tur_XP_V,,Hasan kitab-ı oku-du,Hasan book-ACC read-PST,Hasan read the book.,"Kornfilt_1997[p. 331, ex. 1162]",
tur_ex_,tur,tur_Post,,Hasan köy-e doğru yürü-dü,Hasan village-DAT towards walk-PST,Hasan walked towards the village.,"Kornfilt_1997[p. 424, ex. 1476]", 
​​tur_ex_,tur,tur_PostP_N,,tam anne-m-e göre bir şapka,exactly mother-1SG.POSS-DAT according.to one hat,a hat just right for my mother,"Göksel_Kerslake_2005[p. 227, ex. 100]",
tur_ex_,tur,tur_N_PostP,,*bir şapka tam anne-m-e göre,one hat exactly mother-1SG.POSS-DAT according.to,a hat just right for my mother,"Ümit Atlamaz, p.c.",
tur_ex_,tur,tur_M_M_N,,"bir güzel, olgun elma",one nice ripe apple,one rice ripe apple,"Kornfilt_1997[p. 106, ex. 415]",
