ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
kpy_ex_01,kpy,kpy_A,,ɣəmmo n-ə-pəttoŋ-eɣəm.,1SG.ABS ADJ-EP-rich-1SG.PRED,I am rich.,"Rafael Abramovitz, p.c.",
kpy_ex_02,kpy,kpy_A kpy_A_N,,təleʔun majŋ-ə-kajŋ-ə-n.,see.1SG.S>3SG.O.PST big-EP-bear-EP-ABS.SG,I saw a big bear.,"Rafael Abramovitz, p.c.",incorportated attributive adjective 
kpy_ex_03,kpy,kpy_A kpy_A_N,,təleʔun n-ə-mejəŋ-qin kajŋ-ə-n.,see.1SG.S>3SG.O.PST ADJ-EP-big-ADJ.SG bear-EP-ABS.SG,I saw a big bear.,"Rafael Abramovitz, p.c.",free attributive adjective  
kpy_ex_04,kpy,kpy_N_A,,*təleʔun kajŋ-ə-majŋ-ə-n.,see.1SG.S>3SG.O.PST bear-EP-big-EP-ABS.SG,I saw a big bear.,"Abramovitz_2021[p. 155, ex. 311a]",
kpy_ex_05,kpy,kpy_N_A,,təleʔun kajŋ-ə-n n-ə-mejəŋ-qin.,see.1SG.S>3SG.O.PST bear-EP-ABS.SG ADJ-EP-big-ADJ.SG,I saw a big bear.,"Abramovitz_2021[p. 155, ex. 311a]",
kpy_ex_06,kpy,kpy_N_V_XP,,eʎʔa-na-k mik-ə-ne-k ∅-ine-n-ə-kj-ev-i ɣəmmo metʔa-ŋ ∅-k-aŋaŋja-ŋvo-ŋ-∅.,woman-OBL.SG-ERG who-EP-OBL.SG-ERG 2/3.S/A.IND-1SG.O-CAUS-EP-wake.up-VBLZ-AOR 1SG.ABS beautiful-ADV 2/3.S/A.IND-PRS-sing-HAB-PRS-3.S.IND,The woman that woke me up sings well.,"Abramovitz_2021[p. 155, ex. 311a]",
kpy_ex_07,kpy,kpy_N_V_XP,,ŋanen-ʔojamtawelʔ-ə-ŋ mek-ə-na-ŋ t-ə-je-jəl-ŋ-ə-ne-w kanpeta-w ∅-ku-tejk-ə-ŋ-nin jaja-wwe.,DIST.DEM-person-EP-DAT who-EP-OBL.SG-DAT 1SG.ERG 1SG.S/A-EP-FUT-give-FUT-EP-3.O-3PL candy-ABS.PL 2/3.S/A.IND-PRS-make-EP-PRS-3SG.A>3.O house-ABS.PL,The person to whom I gave candies build houses.,"Abramovitz_2021[p. 165, ex. 324a]",
kpy_ex_08,kpy,kpy_Post,,ə-nan to ənək-partija-ta nanəpʎepavən jon-at-ɣəjŋ-ə-n mujək-nute-k.,3SG-ERG and 3SG.POSS-party-ERG fix.3NSG.S >3SG.O.PST live-VB-NMLZ-EP-ABS.SG 1NSG.POSS-land-LOC,He and his party fixed life in our land.,"Rafael Abramovitz, p.c.",
kpy_ex_09,kpy,kpy_Post,,menno winə qət͡ɕʔet-ə-ŋqo wajamlana-jtəŋ?,where.be.3SG road.ABS.SG Palana-EP-ABL Lesnaya-ALL,Where is the road from Palana toLesnaya?,"Rafael Abramovitz, p.c.",
kpy_ex_10,kpy,kpy_PostP_N,,lajv-ə-ɣəjŋ-ə-n umk-ə-k,walk-EP-NMLZ-EP-ABS.SG forest-EP-LOC,a walk in the woods,"Rafael Abramovitz, p.c.",no special information structure
