ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
lil_ex_01,lil,,,waʔ páqʷuʔ(=Ø) ta=sk̓ʷúk̓ʷmiʔt=a,IPFV afraid(=3.S) DET=child=EXIS,‘The child is scared.’,"(Henry Davis, p.c.)",
lil_ex_02,lil,,,*waʔ páqʷuʔ(=Ø) ta=sk̓ʷúk̓ʷmiʔt=a ʔi=sk̓ák̓y̓ət=a,IPFV afraid(=3.S) DET=child=EXIS PL.DET=spider=EXIS,Intended: ‘The child is scared of spiders.’,"(Henry Davis, p.c.)",Adjectives themselves may not take complements either as predicates or as modifiers.
lil_ex_03,lil,,,waʔ paqʷuʔ-mín(-Ø)-as ta=sk̓ʷúk̓ʷmiʔt=a ʔi=sk̓ák̓y̓ət=a,IPFV afraid-RELTR(-3.O)-3A DET=child=EXIS PL.DET=spider=EXIS,‘The child is scared of spiders.’,"(Henry Davis, p.c.)",Adjectives have to be converted into transitive verbs (typically by means of the relational applicative transitivizer -min(')) to be able to take complements.
lil_ex_04,lil,,,núk̓ʷʔ-an(-Ø) [ta=waʔ páqʷuʔ sk̓ʷúk̓ʷmiʔt],help-DIRTR(-3.O) DET=IPFV afraid child,‘Help the scared child (the child who is scared)!’,"(Henry Davis, p.c.)","Can be either prenominal or postnominal if clausal. In the examples, the bracketed constituent is a headed relative clause, as evidenced by the presence of the imperfective auxiliary waʔ."
lil_ex_05,lil,,,núk̓ʷʔ-an(-Ø) [ta=sk̓ʷúk̓ʷmiʔt=a waʔ páqʷuʔ],help-DIRTR(-3.O) DET=child=EXIS IPFV afraid ,‘Help the scared child (the child who is scared)!’,"(Henry Davis, p.c.)","Can be either prenominal or postnominal if clausal. In the examples, the bracketed constituent is a headed relative clause, as evidenced by the presence of the imperfective auxiliary waʔ."
lil_ex_06,lil,,,*núk̓ʷʔ-an(-Ø) [ta=waʔ páqʷuʔ ʔi=sk̓ák̓y̓ət=a sk̓ʷúk̓ʷmiʔt],help-DIRTR(-3.O) DET=IPFV afraid PL.DET=spider=EXIS child,Intended: ‘Help the child (who is) scared of spiders!’,"(Henry Davis, p.c.)",Adjectives themselves may not take complements either as predicates or as modifiers.
lil_ex_07,lil,,,*núk̓ʷʔ-an(-Ø) [ta=sk̓ʷúk̓ʷmiʔt=a waʔ páqʷuʔ ʔi=sk̓ák̓y̓ət=a],help-DIRTR(-3.O) DET=child=EXIS IPFV afraid PL.DET=spider=EXIS ,Intended: ‘Help the child (who is) scared of spiders!’,"(Henry Davis, p.c.)",It sounds more like the spiders that's scared.
lil_ex_08,lil,,,núk̓ʷʔ-an(-Ø) [ta=waʔ paqʷuʔ-mín-tal̓i ʔi=sk̓ák̓y̓ət=a sk̓ʷúk̓ʷmiʔt],help-DIRTR(-3.O) DET=IPFV afraid-RELTR-NTS PL.DET=spider=EXIS child,‘Help the child (who is) scared of spiders’,"(Henry Davis, p.c.)","The NTS marker -tali (non-topical subject marker) marks A'-extraction of the ergative argument. It's not just an agreement marker, but a very reliable diagnostic for relativization."
lil_ex_09,lil,,,núk̓ʷʔ-an(-Ø) [ta=sk̓ʷúk̓ʷmiʔt=a waʔ paqʷuʔ-mín-tal̓i ʔi=sk̓ák̓y̓ət=a],help-DIRTR(-3.O) DET=child=EXIS IPFV afraid-RELTR-NTS PL.DET=spider=EXIS ,‘Help the child (who is) scared of spiders’,"(Henry Davis, p.c.)",
lil_ex_10,lil,,,???ác̓x̌-ən=ɬkan mútaʔ [ta=naq̓ʷ-xi[t]-c-ás=a na=n-kạ́h=a] sqayxʷ,see-DIRTR=1SG.S again DET=steal-INDTR-1SG.O-3.A=EXIS ABSNT=DET=1SG.POSS-car=EXIS man,‘I again saw the man who stole my car.’,"(Henry Davis, p.c.)",intervening DP
