ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
nez_ex_01,nez,nez_A_N,,ki-kúhet ha-ʔáayat,PL-tall PL-woman,(the) tall women,"(Deal_2016_plural, p. 321, ex. 26a)",AP
nez_ex_02,nez,nez_A_N,,kuhét ʔáayat,tall woman,(the) tall woman,"(Deal_2016_plural, p. 321, ex. 26b)",AP
nez_ex_03,nez,nez_A_N,,ki-kúhet ti-tíyaw'ic wix̂si'likéecet'es,PL-tall PL-sturdy chair,"(the) tall, sturdy chairs","(Deal_2016_plural, p. 321, ex. 28a)",AP
nez_ex_04,nez,nez_A_N,,kuhét ti-tiyáaw'ic wix̂si'likéecet'es,tall sturdy chair,"(the) tall, sturdy chairs","(Deal_2016_plural, p. 322, ex. 28a)",AP
nez_ex_05,nez,nez_N_C(?),,"kaa hi'náhnanqana 'iwéepne keyóx̣ 'ewéeke tá'c hekípe yoosyóos, yéhet yoosyóos",and 3.NOM-take-SG.HAB-RM wife REL-that 3.GEN-be-PERF good see-LOC blue neck blue,"And he used to take his wife, that one whose blue, blue neck was good in appearance!","(Rude_1985, p. 112, ex. 177 )",Maybe complex AP predicative
nez_ex_06,nez,nnez_A_pred,,ká'lawnik'ay' himéeq'is kaa wepcúux hiwc'éeme háacwal,finally large and skillful 3.NOM-become-CIS-PERF boy,Finally the boy became large and skillful.,"(Rude_1985, p. 85, ex. 40)",AP predicative
nez_ex_07,nez,,,hiwuuy 'nícix yox̣ qémyex̣peme titóoqan,3.NOM-flee-PROG-PL.NOM that Kamiah-ABL people,Then the people from Kamiah [Idaho] were fleeing.,"(Rude_1985, p. 109, ex. 159a)",PP
nez_ex_08,nez,,,kiicuy-nim 'iinit,money-GEN house,bank,"(Amy Rose Deal, p.c.)",Obliques
nez_ex_09,nez,,,hii-we-s 'oylaaqc 'itet'es-pe qiqepsi's cepeeletp'et,3.SUBJ-be-PRES 6 box-in PL-ugly picture,There are six ugly pictures in a box.,"(Amy Rose Deal, p.c.)",Obliques
nez_ex_10,nez,nez_N_C,,picpic yox̂ ke kine _ hi-pinmix-saqa,cat.NOM RP.NOM COMP here _ AGR-sleep-TAM,the cat that was sleeping here,"(Deal_2016_cyclicity, p. 428, ex. 1a)",RC
nez_ex_11,nez,nez_N_C,,picpic yox̂ kine _ hi-pinmix-saqa,cat.NOM COMP RP.NOM here _ AGR-sleep-TAM,the cat that was sleeping here,"(Deal_2016_cyclicity, p. 428, ex. 1b)",RC
nez_ex_12,nez,nez_N_C,,Mine hii-we-s samx̂ ko-nya kex prosubj.1SG 'a-sayqi-ca _?,where AGR-be-TAM shirt.NOM RP-ACC COMP {pro.1SG} AGR-like-TAM _,Where is the shirt that I like?,"(Deal_2016_cyclicity, p. 431, ex. 6a)",RC
nez_ex_13,nez,nez_N_C,,Mine hii-we-s samx̂ kex ko-nya prosubj.1SG 'a-sayqi-ca _?,where AGR-be-TAM shirt.NOM COMP RP-ACC {pro.1SG} AGR-like-TAM _,Where is the shirt that I like?,"(Deal_2016_cyclicity, p. 431, ex. 6b)",RC
